No,Destination Name,Address,Subdistrict,Regency,Latitude,Longitude,Rating,Google Reviews (Count),Category,Source
,Ayung Terrace,"Sayan, Ubud, Gianyar, Bali 80571",Ubud,Gianyar,-8.5014494,115.2423579,46,102,Restaurant,https://bit.ly/3Kl6G8G
,The Swept Away Restaurant Ubud by The Samaya Ubud,Jl. Baung,Ubud,Gianyar,-8.51382,115.2371242,47,524,Western,https://bit.ly/3VgW3cZ
,Gong Jatiluwih,Jl. Jatiluwih Kawan No.88,Tabanan,Tabanan,-8.3668957,115.1299438,43,2652,Restaurant,https://bit.ly/3wRAqXs
,The Shed Bali,Jl. Bangkiang Sidem No.8x,Ubud,Gianyar,-8.4831335,115.2580717,47,426,Restaurant,https://bit.ly/3KjBIxu
,Sawah Terrace,Jl. Raya Kedewatan,Ubud,Gianyar,-8.486377,115.242404,49,159,Restaurant,https://bit.ly/3VgObIw
,Tropical Restaurant Ubud,Jl. Monkey Forest No.03,Ubud,Gianyar,-8.5075441,115.2620626,46,2477,Restaurant,https://bit.ly/4aHucHs
,Laka Leke Restaurant,Jl. Nyuh Bojog No.32,Ubud,Gianyar,-8.5202716,115.2574513,46,2561,Balinese restaurant,https://bit.ly/3VhtKv8
,Ketela Eatery & Lifestyle,Jl. Pantai Batu Bolong No.25 C,Kuta,Badung,-8.646468,115.139763,49,713,Restaurant,https://bit.ly/4aD2Rq1
,Labak Sari Restaurant,"Jl. Tirta Tawar, Br. Abangan, 80571, Ubud 80571",Ubud,Gianyar,-8.4683069,115.2698459,47,698,Balinese restaurant,https://bit.ly/3Vguqki
,Embers Restaurant,Jl. Bisma No.97,Ubud,Gianyar  ,29.6106997,-98.4807963,45,150,Restaurant,https://bit.ly/4aSOMoF
,Terracotta Restaurant Ubud,Jl. Raya Lungsiakan,Ubud,Gianyar,-8.4860663,115.2488938,45,244,Restaurant,https://bit.ly/4aFg8hR
,Casa Luna,Jl. Raya Ubud,Ubud,Gianyar,29.6755476,-95.1721122,44,1543,Balinese restaurant,https://bit.ly/3VjU4oB
,Lembah Ayung Restaurant at Pramana Watu Kurung Resort,"Banjar Bunutan, Jl. Batu Kurung I",Banjar,Buleleng,-8.4713067,115.2439214,48,48,Restaurant,https://bit.ly/3VfI7A9
,T'dung Restaurant Pool & Bar,"Kenderan, Tegallalang, Gianyar, Bali 80552",Ubud,Gianyar,-8.4737548,115.285478,48,67,Restaurant,https://bit.ly/3VhEfyF
,Kepitu Restaurant,"Banjar Bresela Desa Bresela, Payangan",Ubud,Gianyar,-8.4760363,115.2807956,44,85,Restaurant,https://bit.ly/4dUDMtr
,Breeze at The Samaya Seminyak,Jl. Laksmana,Kuta,Badung,-8.6830616,115.153281,44,718,Western,https://bit.ly/3yK7gKh
,The Restaurant at The Legian Seminyak,Jl. Kayu Aya,Kuta,Badung,-8.6843561,115.1533328,46,244,Western,https://bit.ly/4aFgMfh
,Bumi Bali Restaurant,Jl. Monkey Forest,Ubud,Gianyar,-8.5115412,115.2612453,42,227,Balinese restaurant,https://bit.ly/4aFgViP
,Kilo Kitchen Bali - Seminyak,Jl. Drupadi No.22,Kuta,Badung,-8.6859496,115.1646784,46,2319,Fusion restaurant,https://bit.ly/3ViR4ZE
,The Kelusa at Samsara Ubud,"Banjar Ayah No.Desa, Kelusa, Payangan, Gianyar, Bali 80572",Banjar,Buleleng,-8.4295066,115.2587789,47,22,Restaurant,https://bit.ly/4e09aGQ
,Melali Ubud,Jl. Sri Wedari No.58,Ubud,Gianyar,-8.4847951,115.2670134,47,647,Restaurant,https://bit.ly/3yLPfLF
,Watercress,Jl. Batu Belig No.21 A,Kuta Utara ,Badung ,37.758642,-97.455406,46,2224,Western,https://bit.ly/3wQ21IE
,Samiya Restaurant,Jl. Baturiti - Mekarsari,Baturiti,Tabanan,41.6015496,-87.375245,43,140,Restaurant,https://bit.ly/4aFDR1j
,Seasalt,Jl. Taman Ganesha Jl. Petitenget No.9,Kuta Utara ,Badung,44.9161065,-93.2108628,46,1540,Seafood,https://bit.ly/3yJOmTS
,La Lucciola,"Kerobokan, Jl. Kayu Aya",Kuta,Badung,-8.6828531,115.1520118,45,2389,Italian,https://bit.ly/451oXRQ
,"Bali Green Sunset - Cafe, Bar & Rice Field",Jl. Raya Sebali,Ubud,Gianyar,-8.4687436,115.2597771,47,246,Western,https://bit.ly/4bCMYkO
,Nook,Jl. Umalas 1 No.3,Kuta Utara ,Badung,36.3642869,-95.8370223,45,12062,Western,https://bit.ly/4521Re0
,Sakti Dining Room,Puri Ahimsa Banjar Baturning,Abiansemal,Badung,-8.5429778,115.2169484,45,55,Vegetarian,https://bit.ly/3WZoNbE
,Kubu at Mandapa,Jl. Raya Kedewatan,Banjar,Buleleng,-8.485701,115.2451022,48,393,Mediterranean,https://bit.ly/4bPk5lz
,Mamasan Bali,Jl. Raya Kerobokan No.135,Kuta,Badung,-8.682115,115.164686,45,3546,Asian,https://bit.ly/3yC9X0z
,"Pison, Ubud",Jl. Hanoman No.10X,Ubud,Gianyar,-8.5182718,115.2636307,45,4151,Restaurant,https://bit.ly/4bzWeG2
,Kepitu Restaurant,"Kenderan, Tegallalang, Gianyar, Bali 80561",Ubud,Gianyar,-8.4760363,115.2807956,47,72,Restaurant,https://bit.ly/451p5ki
,CasCades Restaurant,Jl. Lanyahan,Ubud,Gianyar,40.3830344,-105.5192671,47,359,Restaurant,https://bit.ly/44Vhtjn
,Tinos warung - East West Kitchen,Jl. Arjuna,Ubud,Gianyar,-8.5064027,115.2609704,46,807,Restaurant,https://bit.ly/4axlFa8
,Kaukau Restaurant Ubud,Jl. Katik Lantang,Ubud,Gianyar,-8.5222661,115.2528255,48,132,Restaurant,https://bit.ly/3wRuxtn
,Murni's Warung,Jl. Raya Ubud,Ubud,Gianyar,-8.5051184,115.2547196,45,1403,Restaurant,https://bit.ly/4dYnQGt
,Kunang-Kunang Restaurant,"Banjar Pinjul, Kenderan, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561",Banjar,Buleleng,-8.4597403,115.2828573,46,37,Rice restaurant,https://bit.ly/3wTR2xQ
,Seminyak Kitchen,Jl. Camplung Tanduk No.103,Kuta,Badung,-8.691726,115.162374,46,248,Restaurant,https://bit.ly/4dWsKUq
,Wanara Spice,Jl. Bisma No.74,Ubud,Gianyar,-8.516666,115.2589677,46,196,Balinese restaurant,https://bit.ly/3wRuyNX
,Sweet Orange Warung,Jl. Kajeng,Ubud,Gianyar,-8.5005931,115.2600481,47,1933,Indonesian,https://bit.ly/3yLPlD1
,D Alas Warung Restaurant,Jl. Raya Pujung Kaja,Ubud,Gianyar,-8.4223646,115.2789232,44,1161,Restaurant,https://bit.ly/4e0SSxJ
,Wijaya Kusuma Restaurant,"JL. Begawan Giri , Melinggih Kelod, Payangan",Ubud,Gianyar,-8.449922,115.2347836,50,25,Restaurant,https://bit.ly/3R3HGGG
,Kaum Bali,Jl. Petitenget No.51B,Kuta,Badung,-8.6792024,115.1499884,48,1264,Indonesian,https://bit.ly/4dYaIkL
,Tsavo Lion Restaurant,"Serongga, Gianyar, Gianyar, Bali 80515",Ubud,Gianyar,-8.579047,115.344758,46,915,Buffet,https://bit.ly/4aFCqQi
,Boni Bali Restaurant,Jl. Pakudui,Ubud,Gianyar,-8.4260853,115.2801331,42,186,Balinese restaurant,https://bit.ly/4dUYFES
,Babi Guling Depot Betty,Jl. Perean Tengah,Banjar,Buleleng,-8.4094881,115.1973492,45,1703,Balinese restaurant,https://bit.ly/4ayoVBX
,This Is Bali - Balinese Food & Desserts,Jl. Gootama No.2,Ubud,Gianyar,-8.5081631,115.2642987,49,2535,Balinese restaurant,https://bit.ly/3yK7rVX
,Herbivore by Locavore,Jl. Dewisita No.10,Ubud,Gianyar,-8.5101745,115.2635252,45,1733,Fine Dining,https://bit.ly/3R49pHj
,Sorrento Mediterranean Restaurant,"ITDC Lot 1, Jl. Nusa Dua",Kuta,Badung,-8.798784,115.2323604,47,138,Mediterranean,https://bit.ly/4dW2868
,Padi Restaurant,"Jl Suweta, Ubud",Ubud,Gianyar,41.8841806,-88.2068338,43,4,Fusion restaurant,https://bit.ly/3R0LW9T
,The Grill at LUXE,Jl. Kajeng AT Juwuk Manis Ubud Kaja,Ubud,Gianyar,-8.4965132,115.2609909,47,347,Steak,https://bit.ly/4aFh31N
,BLANCO par Mandif,"Kompleks Museum Blanco, Jl. Raya Tjampuhan, Ubud",Ubud,Gianyar,-8.5053299,115.2543043,47,435,Restaurant,https://bit.ly/4aCh4Dt
,Sleeping Gajah Kitchen & Lounge,Banjar Tabola,Banjar,Buleleng,-8.4772845,115.4386131,49,422,Restaurant,https://bit.ly/4dQIKYh
,Ling-Ling's Bali,Jl. Petitenget No.43B,Kuta,Badung,-8.6740623,115.1574047,48,6595,Asian Fusion,https://bit.ly/4e8q46u
,Shrida Ubud Restaurant,Jl. Bisma,Ubud,Gianyar,-8.5161632,115.2580637,48,203,Restaurant,https://bit.ly/4dVA7vw
,Zest,Jl. Penestanan No.7,Kuta,Badung,32.8483701,-96.7876033,43,2559,Vegan,https://bit.ly/3yEFGyf
,Gooseberry Restaurant,Gg. Pirta,Kuta Selatan,Badung,38.5866028,-90.2314123,48,4886,Restaurant,https://bit.ly/4e049y4
,Merah Putih,Jalan Petitenget.100X Kerobokan Kelod,Kuta,Badung,-8.6767558,115.1545123,46,2408,Indonesian,https://bit.ly/4dWsTHs
,CHORA Mediterranean Restaurant & Bar,Jl. Bisma No.70,Ubud,Gianyar,-8.5117978,115.2583724,48,1582,Mediterranean,https://bit.ly/4e0SX4v
,Asian Spice Restaurant Bali,"Rama Residence Padma, Jl. Padma",Kuta,Badung,-8.7062845,115.168375,42,210,Asian,https://bit.ly/4dQKDUV
,The Elephant,"Hotel Taman Indrakila, Jl. Raya Sanggingan",Ubud,Gianyar,36.0918741,-95.9420866,45,864,Vegetarian,https://bit.ly/3VhBiOr
,Mozaic,Jl. Raya Sanggingan,Ubud,Gianyar,44.9500007,-93.2979202,46,1174,French,https://bit.ly/4dTVGwr
,Warung Umah Bali,Jl. Keliki Kawan,Ubud,Gianyar,-8.4465234,115.2580221,50,470,Balinese restaurant,https://bit.ly/4dTVNYT
,Watercress Ubud,Jl. Monkey Forest,Ubud,Gianyar,-8.5131112,115.2608741,47,2604,Restaurant,https://bit.ly/4dVAlCS
,Warung Taman Gemitir,"Jalan Raya Denpasar Singaraja, Banjar Pacung No.km.40",Banjar,Buleleng,-8.3374849,115.1876759,42,329,Nasi goreng restaurant,https://bit.ly/4dTVOfp
,Ibu Rai Restaurant,Jl. Monkey Forest No.72,Ubud,Gianyar,-8.5093617,115.2615927,43,1935,Asian,https://bit.ly/4dW2hXe
,Akar Ubud by K Club,"K Club, Jalan Raya Cebok, Kedisan",Ubud,Gianyar,-8.4419469,115.2864685,47,424,Restaurant,https://bit.ly/456i7KY
,Arcadia Restaurant,Jl. Raya Campuhan,Ubud,Gianyar,37.5827864,-90.6289877,50,517,Restaurant,https://bit.ly/3VhtT1E
,Pica South American Kitchen,Jl. Dewisita,Ubud,Gianyar,-8.5101244,115.2632059,47,574,Peruvian,https://bit.ly/4e04b9a
,Dapur Usada,Jl. Sugriwa No.4,Ubud,Gianyar,-8.5094358,115.2658615,47,505,Vegetarian,https://bit.ly/3VguwZc
,Mesari Restaurant,Jl. Penestanan Kelod,Ubud,Gianyar,-8.5097866,115.2516785,45,402,Restaurant,https://bit.ly/3yy8B7c
,Hujan Locale: Modern Indonesian Restaurant,Jl. Sri Wedari No.5,Ubud,Gianyar,-8.5073,115.265031,46,1590,Indonesian,https://bit.ly/3wQ247i
,Sangsaka Restaurant,Jalan Pangkung Sari No. 100 Kerobokan,Kuta,Badung,-8.6786187,115.1605023,47,1699,Indonesian,https://bit.ly/4dWZop2
,The Sayan House Restaurant,Jl. Raya Sayan No.70,Ubud,Gianyar,-8.4986293,115.2442719,46,1962,Fusion restaurant,https://bit.ly/3yy8BnI
,Asri Dining by Samanvaya,"Serongga, Gianyar, Gianyar, Bali 80515",Banjar,Buleleng,-8.4747729,115.4407987,49,1432,Restaurant,https://bit.ly/3R34iHr
,Copper Kitchen & Bar,Jl. Bisma No.68,Ubud,Gianyar,33.2284076,-96.6129273,43,539,Restaurant,https://bit.ly/44Xv4Xm
,Bebek Bengil Ubud,Jl. Hanoman,Ubud,Gianyar,-8.5177232,115.2637002,43,7023,Balinese restaurant,https://bit.ly/456PYTV
,Casita Bali,"Baturiti, Tabanan, Bali 82191",Tabanan,Tabanan,-8.3546134,115.1844895,40,1,Balinese restaurant,https://bit.ly/4dZ4Rfe
,Kebun Bistro,"next to Tegun Galeri, Jl. Hanoman No.44",Ubud,Gianyar,-8.513603,115.2642122,46,2514,Bistro,https://bit.ly/4dYHeDu
,Alchemy Bali,Jl. Penestanan Kelod No.75,Ubud,Gianyar,-8.5063939,115.2516442,43,2060,Vegan,https://bit.ly/456Q5yP
,Tree Top Restaurant and Piano Bar,Jalan Shanti Padang Mun,Bangli,Bangli,-8.2601591,115.3336222,50,7,Restaurant,https://bit.ly/4dTq61L
,Bale Banjar Restaurant,Jl. Melasti Legian Kelod,Kuta,Badung,-8.7080359,115.1669433,45,11,Restaurant,https://bit.ly/4dQIR69
,Meguna Ubud Restaurant,Jl. Monkey Forest,Ubud,Gianyar,-8.5181996,115.2621656,47,790,Restaurant,https://bit.ly/3QZ4dUY
,Botanist Restaurant Ubud,Kelabang Moding,Banjar,Buleleng,-8.4777558,115.2629199,44,93,Restaurant,https://bit.ly/3VieTk4
,Casa Curandera Bali,Jl. Katik Lantang,Ubud,Gianyar,-8.5158648,115.2504266,48,496,Colombian,https://bit.ly/3VhEl9v
,Warung Nyoman,"Jalan Raya Pacung, Baturiti, Tabanan",Klungkung,Klungkung,-8.6637935,115.456047,41,86,Balinese restaurant,https://bit.ly/3VgcQwR
,Warung Babi Guling Andi Jaya Perean,Jl. Perean Tengah,Tabanan,Tabanan,-8.4183043,115.1991028,45,275,Balinese restaurant,https://bit.ly/3R1zfvu
,The Plantation Grill - Seminyak,"Seminyak, Kuta, Badung, Bali 80361",Kuta,Badung,-8.6963594,115.1616054,47,644,Steak,https://bit.ly/3yEFNd9
,Keramas Aero Park,Jl. Bay Pass Ida Bagus Mantra KM. 28 Keramas,Ubud,Gianyar,-8.5951602,115.3378026,43,1144,Restaurant,https://bit.ly/4e09wNG
,Locavore To Go,Jl. Dewisita No.10a,Ubud,Gianyar,-8.5103729,115.2642813,46,986,Hamburger,https://bit.ly/44WaBCd
,Kayuputi,Kawasan Pariwisata,Nusa Dua,Badung,-8.8134667,115.2283879,48,708,Restaurant,https://bit.ly/44WaBSJ
,Chez Gado Gado,Jl. Camplung Tanduk No.99,Kuta,Badung,-8.6929055,115.1590383,44,2246,Restaurant,https://bit.ly/3R1zfM0
,Warung Mina Bedugul,Jl. Mekarsari - Baturiti Bedugul,Tabanan,Tabanan,-8.3512699,115.188816,43,149,Restaurant,https://bit.ly/3R0ZDWe
,Aruna Restaurant,"Banjar Sapat, Jl. Raya Tegallalang",Tegallalang ,Gianyar,35.6552648,-105.9952814,47,29,Indonesian,https://bit.ly/3R37FxI
,Pistachio Restaurant Ubud,Jl. Bisma,Ubud,Gianyar,-8.5137778,115.2581204,45,570,Restaurant,https://bit.ly/4dZ4p0a
,Uno Ristorante Italiano,"Jalan Raya, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",Ubud,Gianyar,-8.5065413,115.2613859,37,634,Italian,https://bit.ly/3wTRnR8
,Jaansan Bali Restaurant,Jl. Petitenget No.40X,Kuta,Badung,-8.784735,115.193594,47,905,Restaurant,https://bit.ly/3R3A32P
,Mauri Restaurant,Jl. Petitenget No.100,Kuta Utara ,Badung,42.270134,-87.996715,47,964,Italian,https://bit.ly/3ViBJbx
,SACRED RICE Restaurant,"MAS, Ubud, Gianyar, Bali 80571",Ubud,Gianyar,38.9647878,-94.6700701,47,392,Restaurant,https://bit.ly/3yBtEpn
,Boy'N'Cow,Jl. Raya Kerobokan No.138,Kuta Utara ,Badung,35.4052022,-94.5859651,47,3171,Steak,https://bit.ly/44XJ9Ee
,Sarong,Jl. Petitenget No.19X,Kuta Utara ,Badung,36.1653356,-95.755994,45,862,Asian Fusion,https://bit.ly/4dXoeVF
,NOAA Social Dining,"No.2000X, Jl. Petitenget",Kuta,Badung,-8.6771403,115.1542334,46,561,Asian,https://bit.ly/450XBLr
,Ankhusa Ubud by Wonderspace,Jl. Raya Desa Kenderan No.88X,Ubud,Gianyar,-8.4284775,115.2976684,49,430,Restaurant,https://bit.ly/3wVBlGn
,Naughty Nuri's Ubud,Jl. Raya Sanggingan No.88X,Ubud,Gianyar,-8.4924829,115.2532592,42,4280,Barbecue,https://bit.ly/3Vejgwu
,Natti's Indian Specialty Restaurant,"Kenran Resort Kenderan,Tegallalang",Ubud,Gianyar,-8.473762,115.2855105,49,1027,Indian,https://bit.ly/3VgOnYg
